Time,Mag,Depth_km,Lat,Lon,Remark
9/12/2016 19:44,5.1,15,35.77 N,129.19 E,??? ????? ???????? 8.2km ????
9/12/2016 19:45,2.4,12,35.78 N,129.20 E,??? ????? ???????? 7km ????
9/12/2016 19:46,2.2,14,35.76 N,129.19 E,??? ????? ???????? 9km ????
9/12/2016 19:48,3.1,16,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/12/2016 19:50,2.2,13,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/12/2016 19:53,2.1,16,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/12/2016 19:55,2.4,18,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/12/2016 20:00,2.4,19,35.78 N,129.16 E,??? ????? ?????? 8km ????
9/12/2016 20:04,2.5,20,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/12/2016 20:07,2.6,21,35.76 N,129.19 E,??? ????? ???????? 9km ????
9/12/2016 20:08,2.7,18,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/12/2016 20:09,2.7,13,35.76 N,129.17 E,??? ????? ???????? 10km ????
9/12/2016 20:10,3.1,18,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/12/2016 20:17,2.3,18,35.76 N,129.19 E,??? ????? ???????? 9km ????
9/12/2016 20:26,2.5,17,35.77 N,129.20 E,??? ????? ???? 8km ????
9/12/2016 20:32,5.8,15,35.76 N,129.19 E,??? ????? ???????? 8.7km ????
9/12/2016 20:34,3.6,12,35.78 N,129.19 E,??? ????? ???????? 7km ????
9/12/2016 20:36,3.4,13,35.75 N,129.18 E,??? ????? ???????? 10km ????
9/12/2016 20:38,3,15,35.78 N,129.20 E,??? ????? ???????? 7km ????
9/12/2016 20:39,3,16,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/12/2016 20:40,3,17,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/12/2016 20:42,2.5,13,35.79 N,129.20 E,??? ????? ???????? 5km ????
9/12/2016 20:43,2.4,13,35.76 N,129.19 E,??? ????? ???????? 9km ????
9/12/2016 20:44,2.5,17,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/12/2016 20:45,2.3,15,35.76 N,129.17 E,??? ????? ???????? 10km ????
9/12/2016 20:45,2.7,14,35.78 N,129.20 E,??? ????? ???????? 7km ????
9/12/2016 20:46,2.4,16,35.76 N,129.17 E,??? ????? ???????? 10km ????
9/12/2016 20:47,2.2,14,35.81 N,129.23 E,??? ????? ???????? 3km ????
9/12/2016 20:47,2.9,16,35.76 N,129.19 E,??? ????? ???????? 9km ????
9/12/2016 20:51,2.6,16,35.75 N,129.16 E,??? ????? ???????? 11km ????
9/12/2016 20:55,2,11,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/12/2016 20:58,2.1,16,35.77 N,129.17 E,??? ????? ???????? 9km ????
9/12/2016 21:00,2.5,18,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/12/2016 21:07,2,15,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/12/2016 21:09,2.2,15,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/12/2016 21:16,2.1,13,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/12/2016 21:20,2.8,19,35.78 N,129.18 E,??? ????? ???????? 7km ????
9/12/2016 21:33,2.3,17,35.76 N,129.02 E,??? ????? ???????? 20km ????
9/12/2016 21:38,2.6,18,35.76 N,129.19 E,??? ????? ???????? 9km ????
9/12/2016 21:54,2.2,16,35.76 N,129.16 E,??? ????? ???????? 10km ????
9/12/2016 21:54,2.1,12,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/12/2016 22:06,2.1,16,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/12/2016 22:08,2,18,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/12/2016 22:13,2.4,17,35.76 N,129.19 E,??? ????? ???????? 9km ????
9/12/2016 22:17,2.5,15,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/12/2016 22:18,2,17,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/12/2016 22:22,2.2,17,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/12/2016 22:23,2.4,17,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/12/2016 22:47,2.1,13,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/12/2016 23:18,3,17,35.76 N,129.17 E,??? ????? ???????? 8km ????
9/12/2016 23:52,3.1,18,35.75 N,129.18 E,??? ????? ???????? 10km ????
9/12/2016 23:53,2.2,16,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/13/2016 0:07,2.2,16,35.76 N,129.19 E,??? ????? ???????? 9km ????
9/13/2016 0:10,2,17,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/13/2016 0:15,2,15,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/13/2016 0:21,2.5,18,35.76 N,129.19 E,??? ????? ???????? 9km ????
9/13/2016 0:32,2.1,16,35.76 N,129.19 E,??? ????? ???????? 9km ????
9/13/2016 0:37,3.1,19,35.78 N,129.21 E,??? ????? ???? 6km ????
9/13/2016 0:45,2.2,17,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/13/2016 1:03,2,17,35.77 N,129.17 E,??? ????? ???????? 9km ????
9/13/2016 1:23,2.2,17,35.75 N,129.19 E,??? ????? ???????? 10km ????
9/13/2016 1:31,2,16,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/13/2016 1:35,2.3,17,35.75 N,129.17 E,??? ????? ???????? 11km ????
9/13/2016 1:37,2.2,17,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/13/2016 1:58,2.5,17,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/13/2016 2:03,2.1,17,35.76 N,129.17 E,??? ????? ???????? 10km ????
9/13/2016 2:03,2.2,14,35.78 N,129.19 E,??? ????? ???????? 7km ????
9/13/2016 2:09,2,17,35.75 N,129.18 E,??? ????? ???????? 10km ????
9/13/2016 3:11,2.1,17,35.75 N,129.17 E,??? ????? ???????? 11km ????
9/13/2016 4:13,2.1,16,35.78 N,129.19 E,??? ????? ???????? 7km ????
9/13/2016 4:41,2.1,17,35.76 N,129.17 E,??? ????? ???????? 10km ????
9/13/2016 4:56,2,15,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/13/2016 5:15,2,16,35.77 N,129.18 E,??? ????? ???????? 9km ????
9/13/2016 6:15,2.3,19,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/13/2016 6:48,2,16,35.78 N,129.18 E,??? ????? ???????? 7km ????
9/13/2016 7:03,2.1,18,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/13/2016 7:47,2.4,17,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/13/2016 8:24,3.2,14,35.76 N,129.17 E,??? ????? ???????? 10km ????
9/13/2016 8:47,2.3,17,35.76 N,129.17 E,??? ????? ???????? 10km ????
9/13/2016 9:23,2.3,17,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/13/2016 10:01,2.3,18,35.78 N,129.19 E,??? ????? ???????? 7km ????
9/13/2016 10:05,2,18,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/13/2016 10:44,2.2,18,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/13/2016 10:58,2,18,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/13/2016 12:27,2.2,18,35.78 N,129.19 E,??? ????? ???????? 7km ????
9/13/2016 12:33,2,18,35.76 N,129.16 E,??? ????? ???????? 10km ????
9/13/2016 13:09,2.3,16,35.77 N,129.17 E,??? ????? ???????? 9km ????
9/13/2016 13:16,2.4,16,35.77 N,129.17 E,??? ????? ???????? 9km ????
9/13/2016 13:18,2.1,16,35.77 N,129.17 E,??? ????? ???????? 9km ????
9/13/2016 14:31,3,14,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/13/2016 14:41,2.1,16,35.76 N,129.17 E,??? ????? ???????? 10km ????
9/13/2016 16:02,2.5,17,35.76 N,129.20 E,??? ????? ???? 9km ????
9/13/2016 16:21,2,18,35.75 N,129.17 E,??? ????? ???????? 10km ????
9/13/2016 16:52,2.5,19,35.75 N,129.18 E,??? ????? ???????? 10km ????
9/13/2016 17:15,2,17,35.77 N,129.18 E,??? ????? ???????? 9km ????
9/13/2016 18:54,2.1,18,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/13/2016 21:49,2.1,16,35.76 N,129.17 E,??? ????? ???????? 10km ????
9/13/2016 23:08,2.3,14,35.73 N,129.36 E,??? ????? ?????? 18km ????
9/14/2016 0:48,3,13,35.75 N,129.18 E,??? ????? ???????? 11km ????
9/14/2016 1:37,2.1,17,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/14/2016 3:55,2.4,19,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/14/2016 4:43,2.1,17,35.77 N,129.17 E,??? ????? ???????? 9km ????
9/14/2016 12:38,2.2,18,35.78 N,129.19 E,??? ????? ???????? 7km ????
9/14/2016 16:47,2.1,17,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/14/2016 17:27,2.3,18,35.77 N,129.17 E,??? ????? ???????? 9km ????
9/14/2016 22:31,2.4,18,35.76 N,129.17 E,??? ????? ???????? 10km ????
9/15/2016 3:22,2.7,18,35.76 N,129.18 E,??? ????? ???? 9km ????
9/15/2016 19:47,2.2,20,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/15/2016 20:48,2.6,19,35.76 N,129.19 E,??? ????? ???????? 9km ????
9/16/2016 5:31,2.2,18,35.78 N,129.19 E,??? ????? ???????? 7km ????
9/16/2016 15:13,2.3,16,35.76 N,129.17 E,??? ????? ???????? 10km ????
9/16/2016 18:58,2,19,35.75 N,129.18 E,??? ????? ???????? 10km ????
9/16/2016 19:15,2,16,35.76 N,129.18 E,??? ????? ???????? 10km ????
9/16/2016 19:54,2.1,13,35.74 N,129.17 E,??? ????? ???????? 12km ????
9/16/2016 21:14,2.2,18,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/17/2016 7:12,2.1,17,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/17/2016 16:21,2.1,18,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/18/2016 16:27,2.4,16,35.76 N,129.17 E,??? ????? ???????? 10km ????
9/18/2016 16:51,1.3,14,35.76 N,129.19 E,??? ????? ???????? 11km ????
9/18/2016 22:38,2,14,35.75 N,129.18 E,??? ????? ???????? 10km ????
9/19/2016 9:17,2.1,17,35.76 N,129.17 E,??? ????? ???????? 10km ????
9/19/2016 20:33,4.5,14,35.74 N,129.18 E,??? ????? ???????? 11km ????
9/19/2016 21:00,2.1,18,35.75 N,129.17 E,??? ????? ???????? 11km ????
9/20/2016 9:58,2.4,19,35.76 N,129.20 E,??? ????? ???? 9km ????
9/20/2016 20:03,2.1,17,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/21/2016 0:59,2.1,17,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/21/2016 3:36,2.9,14,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/21/2016 11:36,2.2,16,35.78 N,129.15 E,??? ????? ?????? 9km ????
9/21/2016 11:53,3.5,18,35.75 N,129.18 E,??? ????? ???????? 10km ????
9/22/2016 0:01,2.3,16,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/22/2016 3:22,2.1,14,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/23/2016 18:21,2.1,17,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/24/2016 19:56,2.5,15,35.79 N,129.19 E,??? ????? ???????? 6km ????
9/28/2016 16:34,3.1,13,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/28/2016 21:10,2.7,15,35.77 N,129.17 E,??? ????? ???????? 9km ????
9/30/2016 11:09,2.1,15,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/30/2016 16:24,2,17,35.77 N,129.16 E,??? ????? ???????? 9km ????
9/30/2016 18:06,2.3,16,35.76 N,129.16 E,??? ????? ???????? 10km ????
9/30/2016 21:52,2.2,15,35.75 N,129.18 E,??? ????? ???????? 10km ????
10/1/2016 13:04,2,15,35.76 N,129.18 E,??? ????? ???????? 9km ????
10/1/2016 17:00,2.3,15,35.76 N,129.18 E,??? ????? ???????? 9km ????
10/2/2016 20:53,3,18,35.75 N,129.19 E,??? ????? ????????10km ????
10/4/2016 15:16,2.6,15,35.76 N,129.19 E,??? ????? ????????9km ????
10/7/2016 17:17,2.2,17,35.77 N,129.23 E,??? ????? ???? 8km ????
10/10/2016 22:59,3.3,17,35.75 N,129.18 E,??? ????? ???????? 10km ????
10/12/2016 0:29,2.9,18,35.76 N,129.18 E,??? ????? ???????? 9km ????
10/14/2016 8:20,2.3,15,35.76 N,129.19 E,??? ????? ???????? 9km ????
10/15/2016 18:55,2.5,16,35.74 N,129.18 E,??? ????? ???????? 11km ????
10/15/2016 23:49,2.2,12,35.76 N,129.17 E,??? ????? ???????? 10km ????
10/20/2016 12:17,2.4,15,35.76 N,129.19 E,??? ????? ???????? 9km ????
10/21/2016 12:47,2.6,12,35.75 N,129.17 E,??? ????? ???????? 11km ????
10/23/2016 3:00,2.7,14,35.78 N,129.20 E,??? ????? ???????? 7km ????
10/25/2016 3:23,2,15,35.76 N,129.19 E,??? ????? ???????? 9km ????
10/25/2016 19:57,2.4,8,35.70 N,129.37 E,??? ????? ?????? 21km ????
11/3/2016 3:46,2.1,14,35.75 N,129.18 E,??? ????? ???????? 10km ????
11/3/2016 10:02,2.3,18,35.76 N,129.19 E,??? ????? ???????? 9km ????
11/3/2016 10:36,2.3,11,35.76 N,129.19 E,??? ????? ???????? 9km ????
11/15/2016 16:27,2,18,35.76 N,129.19 E,??? ????? ???????? 9km ????
11/19/2016 3:29,2.1,14,35.76 N,129.19 E,??? ????? ???????? 9km ????
11/25/2016 18:53,2.3,14,35.75 N,129.17 E,??? ????? ???????? 11km ????
11/28/2016 20:57,2.4,18,35.77 N,129.19 E,??? ????? ???????? 8km ????
12/2/2016 4:45,2.1,14,35.76 N,129.19 E,??? ????? ???????? 9km ????
12/5/2016 0:47,2.1,14,35.77 N,129.18 E,??? ????? ???????? 8km ????
12/9/2016 11:30,2.4,8,35.69 N,129.36 E,??? ????? ?????? 21km ????
12/10/2016 0:51,2.1,18,35.77 N,129.17 E,??? ????? ???????? 9km ????
12/12/2016 4:46,2.2,13,35.76 N,129.18 E,??? ????? ???????? 9km ????
12/12/2016 17:53,3.3,16,35.76 N,129.18 E,??? ????? ???????? 9km ????
12/14/2016 17:20,3.3,12,35.76 N,129.17 E,??? ????? ???????? 10km ????
12/15/2016 17:14,2.1,14,35.76 N,129.19 E,??? ????? ???????? 9km ????
12/25/2016 6:29,2.5,11,35.78 N,129.31 E,??? ????? ?????? 11km ????
1/1/2017 23:52,0.9,14,35.77 N,129.20 E,??? ????? ???? 8km ????
1/2/2017 1:46,0.9,14,35.74 N,129.40 E,??? ????? ???????? 20km ????
1/2/2017 1:59,0.7,11,35.77 N,129.18 E,??? ????? ???????? 8km ????
1/2/2017 18:12,1.1,15,35.77 N,129.21 E,??? ????? ???? 8km ????
1/2/2017 20:05,0.8,12,35.79 N,129.20 E,??? ????? ???????? 5km ????
1/2/2017 21:02,0.6,14,35.77 N,129.19 E,??? ????? ???????? 8km ????
1/2/2017 21:17,0.7,11,35.76 N,129.17 E,??? ????? ???????? 10km ????
1/2/2017 23:07,0.6,14,35.76 N,129.19 E,??? ????? ???????? 9km ????
1/3/2017 2:08,1.5,14,35.77 N,129.20 E,??? ????? ???? 8km ????
1/4/2017 5:41,1.5,15,35.76 N,129.19 E,??? ????? ???????? 9km ????
1/4/2017 16:42,1,10,35.76 N,129.19 E,??? ????? ???????? 9km ????
1/5/2017 8:26,0.7,11,35.78 N,129.21 E,??? ????? ???? 6km ????
1/5/2017 12:40,1.1,12,35.77 N,129.20 E,??? ????? ???? 8km ????
1/5/2017 19:20,1.1,12,35.76 N,129.19 E,??? ????? ???????? 9km ????
1/5/2017 20:17,1.2,9,35.78 N,129.20 E,??? ????? ???????? 7km ????
1/6/2017 1:59,1.7,12,35.78 N,129.20 E,??? ????? ???????? 7km ????
1/6/2017 5:12,0.5,8,35.77 N,129.19 E,??? ????? ???????? 8km ????
1/6/2017 5:37,1.2,11,35.76 N,129.18 E,??? ????? ???????? 9km ????
1/6/2017 5:39,1.3,11,35.75 N,129.18 E,??? ????? ???????? 10km ????
1/6/2017 5:55,1.1,11,35.75 N,129.17 E,??? ????? ???????? 11km ????
1/6/2017 6:10,1.2,11,35.77 N,129.19 E,??? ????? ???????? 8km ????
1/6/2017 6:33,1,11,35.75 N,129.17 E,??? ????? ???????? 11km ????
1/6/2017 8:10,1.9,11,35.75 N,129.18 E,??? ????? ???????? 10km ????
1/6/2017 10:25,1.1,12,35.75 N,129.17 E,??? ????? ???????? 11km ????
1/6/2017 11:46,1,12,35.76 N,129.19 E,??? ????? ???????? 9km ????
1/6/2017 19:38,1.4,12,35.75 N,129.18 E,??? ????? ???????? 10km ????
1/6/2017 20:37,1,11,35.75 N,129.18 E,??? ????? ???????? 10km ????
1/6/2017 22:42,1.3,15,35.77 N,129.19 E,??? ????? ???????? 8km ????
1/6/2017 23:05,1.6,16,35.75 N,129.17 E,??? ????? ???????? 11km ????
1/7/2017 2:23,1.2,11,35.78 N,129.21 E,??? ????? ???? 6km ????
1/7/2017 2:28,1.1,14,35.78 N,129.21 E,??? ????? ???? 6km ????
1/7/2017 2:47,1.4,14,35.76 N,129.18 E,??? ????? ???????? 9km ????
1/7/2017 2:49,0.5,12,35.77 N,129.21 E,??? ????? ???? 8km ????
1/7/2017 2:58,0.8,13,35.76 N,129.19 E,??? ????? ???????? 9km ????
1/7/2017 5:47,1.4,15,35.80 N,129.41 E,??? ????? ???????? 18km ????
1/7/2017 5:57,1.4,15,35.80 N,129.41 E,??? ????? ???????? 18km ????
1/7/2017 7:57,0.7,12,35.77 N,129.18 E,??? ????? ???????? 8km ????
1/7/2017 13:01,0.9,14,35.76 N,129.19 E,??? ????? ???????? 9km ????
1/7/2017 13:17,1.2,15,35.79 N,129.40 E,??? ????? ???????? 18km ????
1/7/2017 16:21,0.9,14,35.75 N,129.19 E,??? ????? ???????? 10km ????
1/7/2017 19:47,1,10,35.81 N,129.41 E,??? ????? ???? 18km ????
1/7/2017 22:15,1,11,35.75 N,129.18 E,??? ????? ???????? 10km ????
1/7/2017 22:47,1.8,18,35.74 N,129.18 E,??? ????? ???????? 11km ????
1/8/2017 5:38,1,14,35.77 N,129.19 E,??? ????? ???????? 8km ????
1/8/2017 6:18,1.3,14,35.77 N,129.20 E,??? ????? ???? 8km ????
1/8/2017 8:41,1.9,14,35.76 N,129.18 E,??? ????? ???????? 9km ????
1/8/2017 19:39,0.9,11,35.75 N,129.17 E,??? ????? ???????? 11km ????
1/8/2017 22:35,1.3,11,35.77 N,129.17 E,??? ????? ???????? 9km ????
1/8/2017 23:04,1.1,12,35.79 N,129.20 E,??? ????? ???????? 5km ????
1/9/2017 20:01,1.3,18,35.77 N,129.21 E,??? ????? ???? 8km ????
1/9/2017 20:15,1.3,12,35.81 N,129.40 E,??? ????? ???? 17km ????
1/9/2017 20:22,1,14,35.78 N,129.43 E,??? ????? ???????? 20km ????
1/9/2017 22:34,0.9,12,35.77 N,129.18 E,??? ????? ???????? 8km ????
1/9/2017 23:21,0.6,10,35.76 N,129.18 E,??? ????? ???????? 9km ????
1/10/2017 1:54,0.8,7,35.76 N,129.32 E,??? ????? ?????? 13km ????
1/10/2017 2:30,1.1,14,35.77 N,129.19 E,??? ????? ???????? 8km ????
1/10/2017 11:29,1.4,11,35.76 N,129.18 E,??? ????? ???????? 9km ????
1/10/2017 11:49,1.2,7,35.83 N,129.05 E,??? ????? ???? 15km ????
1/10/2017 21:16,1.3,13,35.78 N,129.20 E,??? ????? ???????? 7km ????
1/10/2017 22:13,1.8,13,35.76 N,129.19 E,??? ????? ???????? 9km ????
1/12/2017 0:33,0.8,10,35.78 N,129.15 E,??? ????? ?????? 9km ????
1/12/2017 4:56,1.1,11,35.76 N,129.18 E,??? ????? ???????? 9km ????
1/12/2017 6:03,0.9,13,35.76 N,129.19 E,??? ????? ???????? 9km ????
1/12/2017 20:40,1.1,12,35.78 N,129.16 E,??? ????? ?????? 8km ????
1/13/2017 5:33,1.4,16,35.76 N,129.18 E,??? ????? ???????? 9km ????
1/13/2017 13:08,1.7,12,35.76 N,129.19 E,??? ????? ???????? 9km ????
1/13/2017 13:08,1.3,10,35.77 N,129.19 E,??? ????? ???????? 8km ????
1/13/2017 20:55,0.9,12,35.78 N,129.21 E,??? ????? ???? 6km ????
1/14/2017 7:04,1.2,7,35.82 N,129.16 E,??? ????? ???????? 5km ????
1/14/2017 7:10,1.4,11,35.80 N,129.19 E,??? ????? ???????? 5km ????
1/14/2017 14:22,1.1,12,35.75 N,129.18 E,??? ????? ???????? 10km ????
1/15/2017 8:23,1.4,14,35.74 N,129.23 E,??? ????? ???? 11km ????
1/15/2017 16:56,1,11,35.77 N,129.17 E,??? ????? ???????? 9km ????
1/15/2017 22:10,1.4,17,35.76 N,129.18 E,??? ????? ???????? 9km ????
1/16/2017 2:17,0.8,11,35.78 N,129.17 E,??? ????? ???????? 8km ????
1/16/2017 5:28,1.2,11,35.77 N,129.19 E,??? ????? ???????? 8km ????
1/16/2017 9:48,1.3,12,35.77 N,129.19 E,??? ????? ???????? 8km ????
1/16/2017 14:48,1.8,12,35.75 N,129.17 E,??? ????? ???????? 11km ????
1/16/2017 21:05,1.1,20,35.80 N,129.20 E,??? ????? ???????? 4km ????
1/17/2017 0:33,1.5,11,35.70 N,129.37 E,??? ????? ?????? 21km ????
1/17/2017 15:32,1.2,5,35.81 N,129.32 E,??? ????? ???????? 10km ????
1/18/2017 4:15,1,12,35.76 N,129.19 E,??? ????? ???????? 9km ????
1/18/2017 4:59,1.1,15,35.81 N,129.41 E,??? ????? ???? 18km ????
1/18/2017 11:16,1.2,13,35.76 N,129.19 E,??? ????? ???????? 9km ????
1/19/2017 1:55,1,14,35.77 N,129.20 E,??? ????? ???? 8km ????
1/19/2017 6:49,0.9,11,35.75 N,129.17 E,??? ????? ???????? 11km ????
1/19/2017 19:39,0.9,13,35.77 N,129.18 E,??? ????? ???????? 8km ????
1/19/2017 23:04,0.9,14,35.79 N,129.37 E,??? ????? ???????? 15km ????
1/20/2017 2:31,1.2,12,35.77 N,129.21 E,??? ????? ???? 8km ????
1/20/2017 3:53,1.4,8,35.73 N,129.35 E,??? ????? ?????? 17km ????
1/20/2017 10:20,0.6,13,35.79 N,129.20 E,??? ????? ???????? 5km ????
1/20/2017 11:38,0.8,12,35.78 N,129.20 E,??? ????? ???????? 7km ????
1/20/2017 21:24,1.9,16,35.78 N,129.20 E,??? ????? ???????? 7km ????
1/21/2017 12:07,1.4,12,35.75 N,129.19 E,??? ????? ???????? 10km ????
1/21/2017 21:06,0.7,12,35.73 N,129.17 E,??? ????? ???????? 13km ????
1/21/2017 21:17,1.6,17,35.77 N,129.19 E,??? ????? ???????? 8km ????
1/22/2017 4:52,0.8,12,35.75 N,129.17 E,??? ????? ???????? 11km ????
1/22/2017 19:04,1.3,12,35.78 N,129.20 E,??? ????? ???????? 7km ????
1/22/2017 21:30,1.2,13,35.78 N,129.21 E,??? ????? ???? 6km ????
1/23/2017 1:27,1.1,9,35.73 N,129.18 E,??? ????? ???????? 12km ????
1/23/2017 4:17,1.1,12,35.76 N,129.18 E,??? ????? ???????? 9km ????
1/23/2017 6:27,0.8,12,35.75 N,129.19 E,??? ????? ???????? 10km ????
1/24/2017 3:34,1.5,17,35.76 N,129.19 E,??? ????? ???????? 9km ????
1/24/2017 3:59,1.7,17,35.76 N,129.19 E,??? ????? ???????? 9km ????
1/24/2017 4:10,1.4,12,35.77 N,129.18 E,??? ????? ???????? 8km ????
1/24/2017 4:42,0.7,12,35.77 N,129.17 E,??? ????? ???????? 9km ????
1/24/2017 5:08,0.8,12,35.75 N,129.18 E,??? ????? ???????? 10km ????
1/24/2017 5:19,0.3,13,35.75 N,129.18 E,??? ????? ???????? 10km ????
1/24/2017 6:02,1.2,13,35.74 N,129.18 E,??? ????? ???????? 11km ????
1/24/2017 6:41,0.5,12,35.77 N,129.18 E,??? ????? ???????? 8km ????
1/24/2017 12:16,1.4,15,35.76 N,129.20 E,??? ????? ???? 9km ????
1/25/2017 19:40,1.7,14,35.76 N,129.19 E,??? ????? ???????? 9km ????
1/25/2017 21:49,0.8,12,35.75 N,129.18 E,??? ????? ???????? 10km ????
1/26/2017 1:42,0.7,8,35.77 N,129.21 E,??? ????? ???? 8km ????
1/26/2017 3:56,0.9,12,35.75 N,129.19 E,??? ????? ???????? 10km ????
1/27/2017 4:32,1.4,13,35.77 N,129.19 E,??? ????? ???????? 8km ????
1/28/2017 3:44,1.2,13,35.78 N,129.21 E,??? ????? ???? 6km ????
1/28/2017 4:18,1.1,14,35.76 N,129.20 E,??? ????? ???? 9km ????
1/28/2017 4:55,1.2,14,35.77 N,129.19 E,??? ????? ???????? 8km ????
1/28/2017 11:03,1.1,11,35.78 N,129.19 E,??? ????? ???????? 7km ????
1/28/2017 13:05,1.2,12,35.77 N,129.21 E,??? ????? ???? 8km ????
1/28/2017 16:20,1.1,13,35.78 N,129.21 E,??? ????? ???? 6km ????
1/28/2017 22:11,0.6,19,35.77 N,129.18 E,??? ????? ???????? 8km ????
