지점,일시,강수량(mm)
283,01/06/20 12:00,1
283,01/06/20 15:00,0.5
283,01/06/20 18:00,1.5
283,01/06/20 21:00,5
283,01/07/20 00:00,3
283,01/07/20 03:00,7.5
283,01/07/20 06:00,8.5
283,01/07/20 09:00,9.5
283,01/07/20 12:00,2.5
283,01/07/20 15:00,0.5
283,01/08/20 00:00,18
283,01/08/20 03:00,0.1
283,01/22/20 18:00,0.5
283,01/22/20 21:00,1
283,01/23/20 00:00,3.5
283,01/23/20 03:00,1.5
283,01/23/20 06:00,3
283,01/23/20 09:00,1
283,01/23/20 12:00,0.5
283,01/26/20 15:00,0.5
283,01/26/20 21:00,0.5
283,01/27/20 00:00,1
283,01/27/20 03:00,3
283,01/27/20 06:00,3
283,01/27/20 09:00,6
283,01/27/20 12:00,8.5
283,01/27/20 15:00,13.5
283,01/27/20 18:00,18.5
283,01/27/20 21:00,10.5
283,01/28/20 00:00,8.5
283,01/28/20 03:00,3
283,01/28/20 06:00,6.5
283,01/28/20 09:00,6.5
283,01/28/20 12:00,3
283,01/28/20 15:00,0.5
283,02/12/20 09:00,2
283,02/12/20 12:00,1.5
283,02/12/20 15:00,1
283,02/12/20 18:00,0.5
283,02/16/20 06:00,1
283,02/22/20 00:00,1
283,02/22/20 03:00,0.2
283,02/22/20 06:00,0.1
283,02/25/20 03:00,1
283,02/25/20 06:00,2.5
283,02/25/20 09:00,6.5
283,02/25/20 12:00,6
283,02/25/20 15:00,9.5
283,02/25/20 18:00,6
283,02/25/20 21:00,1.5
283,02/26/20 00:00,1
283,02/26/20 03:00,0.1
283,02/26/20 06:00,0.2
283,02/28/20 15:00,1
283,02/28/20 21:00,0.5
283,03/07/20 12:00,0.3
283,03/07/20 21:00,0.2
283,03/09/20 21:00,0.4
283,03/10/20 00:00,2.1
283,03/10/20 03:00,4
283,03/10/20 06:00,6
283,03/10/20 09:00,2.5
283,03/10/20 12:00,0.5
283,03/10/20 15:00,1.5
283,03/10/20 18:00,0.5
283,03/26/20 21:00,1
283,03/27/20 00:00,2
283,03/27/20 03:00,1
283,03/27/20 12:00,2
283,03/27/20 18:00,0.5
283,03/29/20 09:00,0.1
283,04/11/20 22:00,0.2
283,04/11/20 23:00,0.3
283,04/12/20 01:00,0.5
283,04/12/20 02:00,0.5
283,04/12/20 03:00,1
283,04/12/20 04:00,0.5
283,04/12/20 10:00,0.5
283,04/12/20 11:00,1.5
283,04/12/20 16:00,0.5
283,04/12/20 17:00,0.5
283,04/12/20 20:00,1
283,04/13/20 00:00,0.5
283,04/13/20 01:00,0.1
283,04/13/20 03:00,0.2
283,04/17/20 10:00,0.5
283,04/17/20 11:00,1
283,04/17/20 12:00,1.5
283,04/17/20 13:00,2.5
283,04/17/20 14:00,2.5
283,04/17/20 15:00,2
283,04/17/20 16:00,3
283,04/17/20 18:00,1
283,04/18/20 04:00,0.1
283,04/19/20 16:00,1.5
283,04/19/20 17:00,3
283,04/19/20 18:00,3
283,04/19/20 19:00,4.5
283,04/19/20 20:00,7
283,04/19/20 21:00,4.5
283,04/19/20 22:00,6
283,04/19/20 23:00,1
283,04/20/20 01:00,0.5
283,04/20/20 02:00,0.5
283,05/03/20 02:00,1
283,05/03/20 03:00,1.5
283,05/03/20 04:00,0.5
283,05/03/20 06:00,0.5
283,05/03/20 12:00,1
283,05/05/20 15:00,0.1
283,05/09/20 00:00,0.2
283,05/09/20 01:00,0.1
283,05/09/20 02:00,1.4
283,05/09/20 03:00,1.5
283,05/09/20 04:00,3
283,05/09/20 05:00,1.5
283,05/09/20 06:00,3.5
283,05/09/20 07:00,2
283,05/09/20 08:00,2
283,05/09/20 09:00,2
283,05/09/20 10:00,0.5
283,05/09/20 18:00,0.5
283,05/15/20 08:00,0.2
283,05/15/20 09:00,0.8
283,05/15/20 10:00,2.5
283,05/15/20 11:00,1.5
283,05/15/20 12:00,4.5
283,05/15/20 13:00,4
283,05/15/20 20:00,0.5
283,05/16/20 07:00,0.1
283,05/18/20 22:00,0.1
283,05/18/20 23:00,0.1
283,05/19/20 00:00,0.3
283,05/19/20 01:00,0.2
283,05/19/20 02:00,0.8
283,05/19/20 03:00,1.5
283,06/11/20 01:00,0.4
283,06/11/20 02:00,0.1
283,06/11/20 03:00,0.5
283,06/11/20 04:00,9.5
283,06/11/20 05:00,4
283,06/11/20 06:00,1
283,06/12/20 19:00,0.6
283,06/12/20 20:00,5.4
283,06/12/20 21:00,24
283,06/12/20 22:00,13.5
283,06/12/20 23:00,4
283,06/13/20 00:00,4
283,06/13/20 01:00,3
283,06/13/20 02:00,1.5
283,06/13/20 03:00,1.5
283,06/13/20 04:00,0.5
283,06/13/20 05:00,1.5
283,06/13/20 06:00,3
283,06/13/20 07:00,1
283,06/14/20 02:00,0.2
283,06/14/20 03:00,0.3
283,06/14/20 04:00,1.5
283,06/14/20 05:00,1.5
283,06/14/20 06:00,0.5
283,06/14/20 08:00,0.5
283,06/14/20 09:00,5
283,06/14/20 10:00,2.5
283,06/14/20 11:00,16
283,06/14/20 12:00,5.5
283,06/18/20 03:00,0.1
283,06/18/20 04:00,0.1
283,06/18/20 05:00,0.1
283,06/18/20 06:00,0.1
283,06/18/20 07:00,0.1
283,06/18/20 08:00,1
283,06/18/20 09:00,1
283,06/18/20 10:00,1
283,06/18/20 12:00,0.5
283,06/18/20 13:00,1
283,06/18/20 14:00,1.5
283,06/18/20 15:00,1
283,06/18/20 16:00,0.5
283,06/18/20 19:00,0.5
283,06/18/20 20:00,0.5
283,06/18/20 21:00,1
283,06/18/20 22:00,0.5
283,06/18/20 23:00,0.5
283,06/19/20 00:00,0.5
283,06/24/20 17:00,0.4
283,06/24/20 18:00,1.1
283,06/24/20 19:00,0.5
283,06/24/20 20:00,0.5
283,06/24/20 21:00,0.5
283,06/24/20 23:00,1
283,06/25/20 01:00,0.5
283,06/25/20 14:00,0.5
283,06/29/20 17:00,0.5
283,06/29/20 18:00,3
283,06/29/20 19:00,4
283,06/29/20 20:00,8
283,06/29/20 21:00,5
283,06/29/20 22:00,5
283,06/29/20 23:00,7.5
283,06/30/20 00:00,14
283,06/30/20 01:00,8
283,06/30/20 02:00,2
283,07/01/20 02:00,0.5
283,07/01/20 03:00,2.5
283,07/01/20 04:00,1
283,07/01/20 06:00,0.5
283,07/03/20 23:00,2
283,07/04/20 00:00,1
283,07/04/20 03:00,0.2
283,07/04/20 04:00,0.3
283,07/07/20 19:00,1.5
283,07/07/20 22:00,1
283,07/09/20 22:00,0.1
283,07/10/20 00:00,0.1
283,07/10/20 01:00,0.5
283,07/10/20 05:00,1
283,07/10/20 06:00,3.5
283,07/10/20 07:00,1
283,07/10/20 08:00,2.5
283,07/10/20 09:00,9
283,07/10/20 10:00,5
283,07/10/20 11:00,2
283,07/10/20 12:00,1.5
283,07/10/20 13:00,0.5
283,07/10/20 14:00,1.5
283,07/10/20 15:00,1
283,07/12/20 14:00,0.5
283,07/12/20 15:00,1
283,07/12/20 16:00,0.5
283,07/12/20 18:00,0.5
283,07/12/20 19:00,1
283,07/12/20 20:00,2.5
283,07/12/20 21:00,2.5
283,07/12/20 22:00,5
283,07/12/20 23:00,5
283,07/13/20 00:00,5.5
283,07/13/20 01:00,5
283,07/13/20 02:00,2.5
283,07/13/20 03:00,4
283,07/13/20 04:00,4.5
283,07/13/20 05:00,5
283,07/13/20 06:00,5
283,07/13/20 07:00,4
283,07/13/20 08:00,9.5
283,07/13/20 09:00,10.5
283,07/13/20 10:00,9.5
283,07/13/20 11:00,8.5
283,07/13/20 12:00,9.5
283,07/13/20 13:00,4
283,07/13/20 14:00,0.5
283,07/13/20 15:00,1
283,07/13/20 17:00,0.5
283,07/13/20 20:00,0.5
283,07/13/20 22:00,0.5
283,07/14/20 01:00,0.5
283,07/14/20 03:00,1
283,07/15/20 05:00,0.2
283,07/15/20 06:00,0.3
283,07/15/20 09:00,0.5
283,07/15/20 10:00,0.5
283,07/15/20 15:00,1
283,07/19/20 13:00,0.1
283,07/22/20 02:00,0.5
283,07/22/20 03:00,1.5
283,07/22/20 04:00,15
283,07/22/20 05:00,8
283,07/22/20 06:00,17.5
283,07/22/20 07:00,8.5
283,07/22/20 08:00,3
283,07/22/20 09:00,2
283,07/22/20 10:00,1
283,07/22/20 11:00,1
283,07/22/20 13:00,1
283,07/22/20 14:00,2
283,07/22/20 15:00,3.5
283,07/22/20 16:00,2.5
283,07/22/20 17:00,1
283,07/22/20 18:00,2
283,07/22/20 20:00,4.5
283,07/22/20 21:00,0.5
283,07/22/20 22:00,1.5
283,07/22/20 23:00,0.5
283,07/23/20 00:00,0.5
283,07/23/20 01:00,0.5
283,07/23/20 02:00,0.5
283,07/23/20 05:00,0.5
283,07/23/20 08:00,0.5
283,07/23/20 09:00,0.5
283,07/23/20 11:00,0.5
283,07/23/20 12:00,1
283,07/23/20 13:00,1.5
283,07/23/20 14:00,0.5
283,07/23/20 15:00,1.5
283,07/23/20 16:00,1
283,07/23/20 17:00,3
283,07/23/20 18:00,3
283,07/23/20 19:00,2
283,07/23/20 20:00,2
283,07/23/20 21:00,6.5
283,07/23/20 22:00,5.5
283,07/23/20 23:00,9
283,07/24/20 00:00,18
283,07/24/20 01:00,9
283,07/24/20 13:00,0.5
283,07/24/20 20:00,1
283,07/24/20 21:00,1
283,07/24/20 22:00,4
283,07/24/20 23:00,1.5
283,07/25/20 00:00,1
283,07/25/20 01:00,1
283,07/25/20 02:00,1
283,07/25/20 05:00,0.5
283,07/25/20 14:00,0.5
283,07/25/20 18:00,1.5
283,07/25/20 19:00,2
283,07/25/20 20:00,1
283,07/25/20 21:00,1
283,07/25/20 22:00,0.5
283,07/26/20 01:00,0.5
283,07/26/20 07:00,0.5
283,07/26/20 18:00,1
283,07/27/20 11:00,0.1
283,07/27/20 12:00,0.1
283,07/27/20 16:00,2.8
283,07/27/20 17:00,3
283,07/27/20 18:00,9
283,07/27/20 19:00,6.5
283,07/27/20 20:00,4.5
283,07/27/20 21:00,2.5
283,07/27/20 22:00,1
283,07/27/20 23:00,2
283,07/28/20 00:00,1
283,07/28/20 01:00,0.5
283,07/28/20 02:00,0.5
283,07/28/20 04:00,1
283,07/28/20 05:00,12
283,07/28/20 06:00,4.5
283,07/28/20 08:00,0.5
283,07/28/20 09:00,0.5
283,07/28/20 10:00,0.5
283,07/28/20 11:00,0.5
283,07/28/20 20:00,0.5
283,07/28/20 21:00,0.5
283,07/28/20 22:00,0.5
283,07/28/20 23:00,0.5
283,07/29/20 00:00,0.5
283,07/29/20 13:00,0.5
283,07/29/20 14:00,0.5
283,07/29/20 16:00,0.5
283,07/30/20 06:00,0.1
283,07/30/20 10:00,0.4
283,07/30/20 11:00,3
283,07/30/20 12:00,2.5
283,07/30/20 13:00,0.5
283,07/30/20 14:00,1.5
283,07/31/20 19:00,0.1
283,07/31/20 20:00,0.1
283,08/01/20 04:00,0.1
283,08/01/20 06:00,0.4
283,08/06/20 12:00,0.2
283,08/06/20 13:00,0.3
283,08/07/20 06:00,0.1
283,08/07/20 07:00,0.2
283,08/07/20 08:00,5.7
283,08/07/20 09:00,0.5
283,08/07/20 15:00,3
283,08/07/20 16:00,13.5
283,08/07/20 17:00,2
283,08/07/20 18:00,3.5
283,08/07/20 19:00,1.5
283,08/07/20 20:00,1
283,08/07/20 21:00,1.5
283,08/07/20 22:00,1
283,08/07/20 23:00,0.5
283,08/08/20 00:00,2
283,08/08/20 01:00,2.5
283,08/08/20 02:00,1.5
283,08/08/20 03:00,5
283,08/08/20 04:00,3.5
283,08/08/20 05:00,1
283,08/08/20 06:00,2.5
283,08/08/20 07:00,3
283,08/08/20 08:00,5
283,08/08/20 09:00,5.5
283,08/08/20 10:00,4.5
283,08/08/20 11:00,2
283,08/08/20 12:00,2
283,08/08/20 13:00,2.5
283,08/08/20 14:00,2.5
283,08/08/20 15:00,6.5
283,08/08/20 16:00,9.5
283,08/08/20 17:00,6
283,08/08/20 18:00,9.5
283,08/08/20 19:00,2
283,08/08/20 20:00,4
283,08/09/20 01:00,0.5
283,08/10/20 08:00,0.1
283,08/10/20 10:00,0.1
283,08/10/20 13:00,0.3
283,08/10/20 14:00,0.5
283,08/10/20 16:00,2
283,08/10/20 17:00,1
283,08/10/20 18:00,4
283,08/10/20 19:00,1.5
283,08/10/20 20:00,1
283,08/11/20 16:00,0.5
283,08/26/20 08:00,0.1
283,08/26/20 19:00,0.2
283,08/27/20 03:00,0.5
283,08/27/20 07:00,5
283,08/27/20 08:00,1.5
283,08/27/20 09:00,0.5
283,08/27/20 12:00,0.5
283,08/31/20 08:00,0.1
283,08/31/20 09:00,0.4
283,09/02/20 07:00,0.5
283,09/02/20 09:00,10.5
283,09/02/20 10:00,2.5
283,09/02/20 12:00,0.5
283,09/02/20 13:00,1.5
283,09/02/20 16:00,0.5
283,09/02/20 19:00,1.5
283,09/02/20 20:00,0.5
283,09/02/20 21:00,0.5
283,09/02/20 22:00,1.5
283,09/02/20 23:00,1
283,09/03/20 00:00,1.5
283,09/03/20 01:00,11.5
283,09/03/20 02:00,28.5
283,09/03/20 03:00,31.5
283,09/03/20 04:00,19
283,09/03/20 05:00,1.5
283,09/05/20 10:00,0.2
283,09/05/20 11:00,0.3
283,09/05/20 15:00,1
283,09/05/20 16:00,3
283,09/05/20 17:00,3.5
283,09/05/20 18:00,3.5
283,09/05/20 19:00,2
283,09/05/20 20:00,3
283,09/05/20 21:00,4
283,09/05/20 22:00,2
283,09/05/20 23:00,1
283,09/06/20 00:00,2
283,09/06/20 01:00,2
283,09/06/20 12:00,1
283,09/06/20 17:00,3
283,09/06/20 19:00,1
283,09/06/20 20:00,0.5
283,09/06/20 21:00,2.5
283,09/06/20 22:00,2.5
283,09/06/20 23:00,0.5
283,09/07/20 00:00,0.5
283,09/07/20 01:00,1.5
283,09/07/20 02:00,0.5
283,09/07/20 03:00,4
283,09/07/20 04:00,5.5
283,09/07/20 05:00,10
283,09/07/20 06:00,16
283,09/07/20 07:00,19.5
283,09/07/20 08:00,23
283,09/07/20 09:00,21
283,09/07/20 10:00,16
283,09/07/20 11:00,0.5
283,09/07/20 12:00,0.5
283,09/09/20 10:00,0.3
283,09/09/20 11:00,0.7
283,09/10/20 05:00,0.4
283,09/11/20 13:00,0.1
283,09/11/20 14:00,0.4
283,09/11/20 16:00,8.5
283,09/11/20 17:00,8
283,09/11/20 18:00,2
283,09/11/20 19:00,2
283,09/11/20 20:00,0.5
283,09/11/20 21:00,0.5
283,09/11/20 23:00,1
283,09/12/20 00:00,1.5
283,09/12/20 01:00,0.5
283,09/12/20 02:00,1.5
283,09/12/20 06:00,0.5
283,09/12/20 10:00,0.5
283,09/12/20 11:00,1
283,09/12/20 12:00,0.5
283,09/12/20 15:00,0.5
283,09/16/20 06:00,0.1
283,09/16/20 07:00,0.2
283,09/16/20 09:00,0.1
283,09/17/20 10:00,0.5
283,09/17/20 17:00,0.5
283,09/17/20 18:00,0.5
283,09/17/20 21:00,1
283,09/17/20 22:00,0.5
283,09/18/20 00:00,0.5
283,09/18/20 01:00,0.4
283,09/18/20 02:00,0.1
283,09/18/20 08:00,0.5
283,09/23/20 05:00,0.1
283,09/23/20 07:00,0.2
283,09/23/20 20:00,0.2
283,09/23/20 21:00,0.5
283,09/23/20 22:00,2.5
283,09/24/20 00:00,0.5
283,09/24/20 01:00,1
283,09/24/20 03:00,0.5
283,09/25/20 08:00,0.5
283,09/26/20 20:00,0.1
283,09/26/20 22:00,0.1
283,09/27/20 01:00,0.3
283,09/27/20 02:00,0.2
283,09/27/20 03:00,0.5
283,10/03/20 05:00,0.1
283,10/03/20 06:00,0.2
283,10/03/20 08:00,0.1
283,10/04/20 03:00,0.5
283,10/21/20 19:00,0.3
283,10/21/20 20:00,0.2
283,10/21/20 22:00,1
283,10/21/20 23:00,2.5
283,10/22/20 00:00,2
283,10/22/20 01:00,1
283,11/01/20 09:00,1.5
283,11/01/20 12:00,0.5
283,11/02/20 03:00,0.5
283,11/19/20 09:00,8.6
283,11/19/20 15:00,5
283,11/19/20 18:00,2.3
283,11/22/20 12:00,1.2
283,12/13/20 21:00,0.7
283,12/27/20 18:00,0.5
283,12/30/20 03:00,0.6
283,01/22/21 09:00,0.5
283,01/23/21 12:00,5
283,01/24/21 09:00,0.5
283,01/24/21 12:00,0.8
283,01/26/21 09:00,0.7
283,01/26/21 12:00,4
283,01/26/21 15:00,7.2
283,01/26/21 18:00,0.6
283,02/01/21 06:00,5.4
283,02/01/21 09:00,3.3
283,02/01/21 12:00,0.2
283,02/14/21 12:00,0.5
283,02/14/21 15:00,0.3
283,02/14/21 21:00,0.6
283,02/15/21 00:00,3
283,02/15/21 03:00,3.4
283,02/25/21 18:00,0.6
283,02/25/21 21:00,2
283,02/26/21 00:00,0.4
283,02/26/21 03:00,0.5
283,03/01/21 18:00,2
283,03/01/21 21:00,20.6
283,03/02/21 00:00,14.1
283,03/02/21 03:00,4.9
283,03/02/21 06:00,1.3
283,03/12/21 06:00,4.6
283,03/12/21 09:00,5.5
283,03/12/21 12:00,3.4
283,03/12/21 15:00,8.3
283,03/12/21 18:00,3.7
283,03/12/21 21:00,1.2
283,03/16/21 06:00,0.3
283,03/20/21 06:00,0.6
283,03/20/21 09:00,1
283,03/20/21 12:00,3.5
283,03/20/21 15:00,0.3
283,03/27/21 18:00,0
283,03/27/21 21:00,4.5
283,03/28/21 00:00,3.9
283,03/28/21 03:00,3.9
283,03/28/21 06:00,2.3
283,04/03/21 14:00,0
283,04/03/21 15:00,0.4
283,04/03/21 16:00,1.8
283,04/03/21 17:00,4.6
283,04/03/21 18:00,1.1
283,04/03/21 19:00,2.5
283,04/03/21 20:00,3.2
283,04/03/21 21:00,2.6
283,04/03/21 22:00,1.2
283,04/03/21 23:00,0.6
283,04/04/21 00:00,1.4
283,04/04/21 01:00,2.8
283,04/04/21 02:00,1.6
283,04/04/21 03:00,1.9
283,04/04/21 04:00,1.9
283,04/04/21 05:00,2.4
283,04/04/21 06:00,4.7
283,04/04/21 07:00,1.5
283,04/04/21 08:00,0.4
283,04/04/21 09:00,0.1
283,04/04/21 10:00,0
283,04/04/21 11:00,0
283,04/09/21 11:00,0
283,04/09/21 12:00,0.3
283,04/09/21 13:00,0
283,04/12/21 10:00,0
283,04/12/21 11:00,0.4
283,04/12/21 12:00,0.8
283,04/12/21 13:00,0.6
283,04/12/21 14:00,0.5
283,04/12/21 15:00,0.3
283,04/12/21 17:00,0.2
283,04/12/21 18:00,1
283,04/12/21 19:00,0.8
283,04/12/21 20:00,0.1
283,04/12/21 21:00,0.4
283,04/12/21 22:00,1.9
283,04/12/21 23:00,1
283,04/13/21 00:00,0.1
283,04/13/21 01:00,0.1
283,04/17/21 13:00,0
283,04/23/21 09:00,0
283,04/29/21 07:00,0
283,04/29/21 08:00,0
283,04/29/21 10:00,0
283,04/29/21 11:00,0
283,04/30/21 02:00,0
283,04/30/21 06:00,0
283,04/30/21 07:00,0
283,05/01/21 02:00,0
283,05/01/21 03:00,2
283,05/01/21 04:00,3.4
283,05/01/21 05:00,2
283,05/01/21 06:00,2.1
283,05/01/21 07:00,1.1
283,05/01/21 08:00,0.5
283,05/01/21 21:00,0
283,05/02/21 04:00,0.1
283,05/02/21 05:00,2.1
283,05/02/21 06:00,0.5
283,05/02/21 07:00,0.1
283,05/02/21 09:00,0
283,05/04/21 16:00,0
283,05/04/21 17:00,0
283,05/04/21 18:00,0.3
283,05/04/21 19:00,0.2
283,05/04/21 20:00,0
283,05/04/21 21:00,0.6
283,05/04/21 22:00,1.5
283,05/04/21 23:00,1
283,05/05/21 00:00,0.9
283,05/05/21 01:00,0.4
283,05/05/21 04:00,0
283,05/05/21 05:00,0.3
283,05/07/21 16:00,0
283,05/07/21 17:00,0
283,05/10/21 07:00,0.1
283,05/10/21 08:00,0.1
283,05/10/21 11:00,0
283,05/10/21 12:00,0.2
283,05/10/21 15:00,0
283,05/10/21 16:00,0.6
283,05/10/21 17:00,0
283,05/10/21 22:00,0
283,05/11/21 00:00,0
283,05/11/21 05:00,0
283,05/11/21 07:00,0
283,05/11/21 08:00,0
283,05/11/21 09:00,0.2
283,05/11/21 11:00,0
283,05/15/21 05:00,0
283,05/15/21 08:00,2.1
283,05/15/21 09:00,1.2
283,05/15/21 10:00,0
283,05/15/21 11:00,1.9
283,05/15/21 12:00,0.4
283,05/15/21 13:00,0.2
283,05/15/21 14:00,0
283,05/16/21 03:00,0
283,05/16/21 04:00,9.3
283,05/16/21 05:00,8.7
283,05/16/21 06:00,0.4
283,05/16/21 09:00,0
283,05/16/21 11:00,1.9
283,05/16/21 12:00,0.2
283,05/16/21 13:00,0.8
283,05/16/21 15:00,0
283,05/16/21 16:00,0.8
283,05/16/21 17:00,1.6
283,05/16/21 18:00,1.9
283,05/16/21 19:00,3.2
283,05/16/21 20:00,7.2
283,05/16/21 21:00,0.8
283,05/16/21 22:00,0.1
283,05/16/21 23:00,0
283,05/17/21 00:00,0.1
283,05/17/21 02:00,0.1
283,05/17/21 03:00,0.1
283,05/17/21 04:00,0.1
283,05/17/21 05:00,0.2
283,05/17/21 06:00,0.2
283,05/17/21 08:00,0.2
283,05/17/21 09:00,0.3
283,05/17/21 10:00,0.3
283,05/17/21 11:00,0
283,05/17/21 13:00,0.1
283,05/17/21 16:00,1.3
283,05/17/21 17:00,0.8
283,05/17/21 18:00,1.3
283,05/17/21 19:00,0.3
283,05/17/21 20:00,0.1
283,05/17/21 21:00,0.3
283,05/17/21 22:00,0.5
283,05/17/21 23:00,0.4
283,05/18/21 00:00,0.1
283,05/18/21 10:00,0.2
283,05/20/21 09:00,0.2
283,05/20/21 10:00,0.5
283,05/20/21 11:00,2
283,05/20/21 12:00,0.8
283,05/20/21 13:00,3.3
283,05/20/21 14:00,0.8
283,05/20/21 15:00,0.4
283,05/20/21 16:00,0.4
283,05/20/21 17:00,0.1
283,05/20/21 18:00,0.1
283,05/21/21 18:00,0
283,05/24/21 07:00,0.1
283,05/24/21 08:00,0.8
283,05/24/21 09:00,0.6
283,05/28/21 16:00,9.2
283,05/28/21 17:00,3.5
283,05/31/21 06:00,0.5
283,05/31/21 07:00,0.3
283,05/31/21 08:00,0
